valore,category_1,image_1,category_2,image_2,id_floritaly,id_actaplantarum,nome_com,link_imm,usi_attestati,wikipedia,wikispecies
Acanthus arboreus Forssk.,Acanthaceae,Acanthaceae.png,Acanthus arboreus,acanto.png,10037,510037,Acanto arboreo,https://www.actaplantarum.org/z_forum/immag/imm.php?i=329011,Entità ornamentale,https://en.wikipedia.org/wiki/Acanthus_arboreus,https://species.wikimedia.org/wiki/Acanthus_arboreus
Acanthus mollis L. subsp. mollis,Acanthaceae,Acanthaceae.png,Acanthus mollis,acanto.png,5070,505070,"Acanto comune, Branca orsina, Brancalupo",https://www.actaplantarum.org/z_forum/immag/imm.php?i=5088,Entità officinale; Entità ornamentale; Uso artigianale,https://it.wikipedia.org/wiki/Acanthus_mollis,https://species.wikimedia.org/wiki/Acanthus_mollis
Baldellia ranunculoides (L.) Parl.,Alismataceae,Alismataceae.png,Baldellia ranunculoides,Baldellia.png,6684,506684,"Mestolaccia ranuncoloide, Baldellia ranuncoloide",https://www.actaplantarum.org/z_forum/immag/imm.php?i=4263,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Baldellia_ranunculoides,https://species.wikimedia.org/wiki/Baldellia_ranunculoides
Amaranthus blitum/graecizans,Amaranthaceae,Amaranthaceae.png,Amaranthus,Amaranthus.png,,,,,,,
Amaranthus graecizans L.,Amaranthaceae,Amaranthaceae.png,Amaranthus,Amaranthus.png,9740,509740,Amaranto blito-minore,https://www.actaplantarum.org/z_forum/immag/imm.php?i=496805,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Amaranthus_graecizans,https://species.wikimedia.org/wiki/Amaranthus_graecizans
Amaranthus sp.,Amaranthaceae,Amaranthaceae.png,Amaranthus,Amaranthus.png,,,,,,https://it.wikipedia.org/wiki/Amaranthus,https://species.wikimedia.org/wiki/Amaranthus
Atriplex hortensis L. subsp. nitens E.Pons,Amaranthaceae,Amaranthaceae.png,Atriplex,Atriplex.png,485,500485,"Atriplice lucida, Atriplice saettata",,Entità commestibile,https://it.wikipedia.org/wiki/Atriplex_hortensis,https://species.wikimedia.org/wiki/Atriplex_hortensis
Atriplex patula L. subsp. Patula,Amaranthaceae,Amaranthaceae.png,Atriplex,Atriplex.png,491,500491,"Atriplice erba-corregiola, Atriplice a rami patenti, Atriplice patula, Erba corregiola",https://www.actaplantarum.org/z_forum/immag/imm.php?i=590118,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Atriplex_patula,https://species.wikimedia.org/wiki/Atriplex_patula
Atriplex sp.,Amaranthaceae,Amaranthaceae.png,Atriplex,Atriplex.png,,,,,,https://it.wikipedia.org/wiki/Atriplex,https://species.wikimedia.org/wiki/Atriplex
Chenopodiastrum murale (L.) S.Fuentes - Uotila & Borsch,Amaranthaceae,Amaranthaceae.png,Chenopodiastrum,Chenopodiastrum.png,,,,,,https://en.wikipedia.org/wiki/Chenopodiastrum_murale,https://species.wikimedia.org/wiki/Chenopodiastrum_murale
